main thread [3460]
deadline thread started [3476]
st_p,2,659389258,0
p,2,659456202,41574
p,2,666379758,43463
p,2,674264590,44093
deadline thread started [3477]
st_c,2,679742589,0
Starting camera loop
p,2,681747608,128019
p,2,689376684,44111
p,2,696864405,43148
deadline thread started [3478]
st_o,2,701753185,0
o,2,701798037,56537
p,2,704305111,39908
o,2,709190685,42092
p,2,711823833,41518
o,2,716704315,41722
p,2,719270111,40629
deadline thread started [3479]
st_m,2,722163110,0
init
set pins
m,2,722380092,90185
o,2,724195296,122204
p,2,726855574,46000
m,2,729677778,87926
o,2,731748872,43333
p,2,734313872,40963
m,2,737213520,84407
o,2,739211057,118037
p,2,741840576,43926
m,2,744674021,87574
o,2,746735779,43297
p,2,749286076,42537
m,2,752190778,85297
c,2,681139312,72545189
o,2,754267464,41685
p,2,754919392,42870
m,2,755175410,97463
o,2,755484281,42148
p,2,755726021,39259
m,2,756264281,82055
o,2,756723151,41722
p,2,756979800,39334
m,2,757212634,87037
o,2,757508467,100926
p,2,757751707,164167
m,2,758640966,85889
o,2,758885281,43000
p,2,759170372,46130
m,2,759523910,82482
o,2,759825448,43222
p,2,760102411,42352
m,2,760376466,87482
o,2,760723541,44945
p,2,761035615,43074
m,2,761405892,83723
o,2,761636281,51833
p,2,761963338,39185
m,2,764324597,86888
o,2,766411338,45388
p,2,768969023,44796
m,2,771790190,172556
o,2,773875412,45963
c,2,756401151,18262484
p,2,775076357,41907
m,2,775386116,80167
o,2,775677894,39926
p,2,775904598,38944
m,2,776132450,152852
o,2,776400524,39518
p,2,776702024,38741
m,2,776952006,80334
o,2,777249118,39944
p,2,777483970,39074
m,2,777783099,78408
o,2,777984285,39889
p,2,778288304,38704
m,2,778844601,82296
o,2,779120231,39592
p,2,779379305,39851
m,2,779684785,78741
o,2,779880266,48000
p,2,780359099,40722
m,2,780600859,80000
o,2,780869749,39592
p,2,781123527,40203
m,2,781427545,79315
o,2,781628009,106463
p,2,781925065,38500
m,2,782151714,78777
o,2,782419880,38907
p,2,782648325,39018
m,2,782977473,80111
o,2,783250084,39111
p,2,783620788,39667
m,2,786503937,86037
o,2,788566529,43093
p,2,791146919,44241
m,2,794091680,85611
c,2,778495767,17295635
o,2,795951364,112185
p,2,796263846,44074
m,2,796678530,83463
o,2,796955233,40463
p,2,797182695,39260
m,2,797497361,79204
o,2,797770602,39315
p,2,797997435,38685
m,2,798225417,78870
o,2,798494935,39000
p,2,798722899,39148
m,2,799054880,78389
o,2,799332122,38778
p,2,799684343,39612
m,2,800137287,83204
o,2,800419473,41370
p,2,800658749,39593
m,2,801042083,80074
o,2,801327620,40593
p,2,801709194,40556
m,2,801941045,81389
o,2,802211768,39593
p,2,802439083,39093
m,2,802744288,79852
o,2,803046529,39278
p,2,803273585,38667
m,2,803502121,152351
o,2,803775825,38889
p,2,804069899,38723
m,2,804300196,78093
o,2,804633399,39038
p,2,805741197,42482
m,2,808564956,169186
o,2,810634068,45426
p,2,813265495,43722
m,2,816088290,85204
c,2,799781677,17335633
o,2,817519107,41518
p,2,817754588,39482
m,2,818050792,81166
o,2,818252773,39074
p,2,818552421,38722
m,2,818779012,79056
o,2,819045531,38944
p,2,819330956,38370
m,2,819634529,78574
o,2,819827436,40889
p,2,820133768,39871
m,2,820367602,78389
o,2,820633788,39314
p,2,821188177,39185
m,2,821522861,80352
o,2,821724732,110223
p,2,822027046,38186
m,2,822256045,78722
o,2,822734396,40611
p,2,822966637,38944
m,2,823314193,84370
o,2,823539915,114574
