main thread [5412]
deadline thread started [5427]
st_p,2,351178058,0
p,2,351246984,41852
p,2,358615965,44204
p,2,366007797,48926
p,2,373669815,44593
p,2,381173352,45259
p,2,388629909,123852
p,2,396175889,44389
p,2,403675724,43092
p,2,411160465,44166
p,2,418584706,43611
p,2,426108112,44555
p,2,433533205,46408
p,2,441122801,45000
p,2,448561449,51222
p,2,456143930,51315
p,2,463617855,45537
p,2,471141687,43667
deadline thread started [5428]
st_c,2,473009781,0
Starting camera loop
p,2,478638040,47574
p,2,486058781,42759
p,2,493562725,40334
p,2,500972945,39426
p,2,508493687,40686
p,2,515919392,39500
p,2,523404002,39389
p,2,530923056,43389
p,2,538325056,44518
p,2,545785240,47519
p,2,553290388,40444
p,2,560718312,40426
p,2,568205922,41648
p,2,575725201,41092
p,2,583149441,40796
deadline thread started [5429]
st_o,2,590529034,0
o,2,590573108,59240
p,2,590699552,43444
o,2,597998942,43204
p,2,598139738,38259
o,2,605424072,41445
p,2,605567739,38370
o,2,612946979,41537
p,2,613089108,38185
o,2,620383959,42297
p,2,620525311,38334
o,2,627918276,41203
p,2,628060702,38000
o,2,635334813,41000
p,2,635478332,38259
o,2,642846109,41203
p,2,642989479,38555
o,2,650272849,41408
p,2,650414831,38296
o,2,657772052,42333
p,2,657914367,38037
o,2,665218125,42167
p,2,665432884,38370
o,2,672719309,40648
p,2,672860883,38222
o,2,680239680,41648
p,2,680382236,38241
o,2,687660792,40648
p,2,687802625,37833
o,2,695173774,41518
p,2,695316274,38148
o,2,702594495,48611
p,2,702736773,38037
deadline thread started [5430]
st_m,2,708200847,0
init
set pins
m,2,708437421,88037
o,2,710173698,44315
p,2,710317013,38556
m,2,715829567,87908
o,2,717632456,41259
p,2,717772678,37889
m,2,723259678,81834
o,2,725141179,40222
p,2,725280345,41686
m,2,730771919,87982
o,2,732566753,40407
p,2,732708790,38574
m,2,738201920,85908
o,2,740071994,41315
p,2,740213402,38296
m,2,745708641,84926
c,2,474398596,272703897
o,2,747531678,111648
p,2,747735826,38445
m,2,749040123,88797
o,2,749387142,40222
p,2,749476790,38611
m,2,749945124,81093
o,2,750177421,40037
p,2,750264884,38500
m,2,750792033,83371
o,2,750994810,40038
p,2,751172310,38500
m,2,751681163,316260
o,2,752787089,40741
p,2,752877774,39056
m,2,753345848,82186
o,2,753673035,38389
p,2,753757813,38407
m,2,754185721,78518
o,2,754482683,38630
p,2,754567646,37797
m,2,755093775,82963
o,2,755292850,38667
p,2,755377701,37871
m,2,755903017,78056
o,2,756101851,38852
p,2,756256462,38537
m,2,756749445,78741
o,2,758658334,45612
p,2,758793853,38241
m,2,764222243,169111
o,2,766108965,42871
p,2,766246725,38333
m,2,771807668,83667
o,2,773682520,40833
p,2,773823946,38703
c,2,752296312,26223078
m,2,778877611,81240
o,2,779083371,39796
p,2,779171389,105612
m,2,779604445,78407
o,2,779870908,38666
p,2,779955593,37925
m,2,780410055,77778
o,2,780605518,105370
p,2,780757851,37704
m,2,781121019,152889
o,2,781389130,38463
p,2,781473870,38056
m,2,781929982,77722
o,2,782193057,38537
p,2,782277761,37666
m,2,782713279,77741
o,2,782904704,38611
p,2,782989777,37463
m,2,783444408,77833
o,2,783813981,39204
p,2,783899815,37926
m,2,784627722,80556
o,2,784824612,38685
p,2,784909741,38167
m,2,785350703,78370
o,2,785638425,38648
p,2,785723129,37593
m,2,786307834,80148
