main thread [2526]
st_p,2,318156232,0
st_c,2,434487273,0
st_o,2,553104010,0
st_m,2,673387007,0
p,2,318223529,42129
p,2,325576363,114593
p,2,333084067,39481
p,2,340580048,39111
p,2,348014436,39093
p,2,355502713,39018
p,2,362943990,39426
p,2,370432342,39686
p,2,377935639,39778
p,2,385389714,39963
p,2,392880641,40351
p,2,400349956,38981
p,2,407841549,39796
p,2,415367347,39185
p,2,422796978,38852
p,2,430287606,39519
deadline thread started [2542]
Starting camera loop
p,2,437739163,41500
p,2,445237458,40777
p,2,452671865,111129
p,2,460161012,39111
p,2,467655215,39148
p,2,475099400,38630
p,2,482597398,38704
p,2,490056065,42167
p,2,497498658,47463
p,2,505023157,42945
p,2,512479119,42797
p,2,519969971,40611
p,2,527404989,40667
p,2,534891897,39075
p,2,542331584,39852
p,2,549823825,40074
deadline thread started [2543]
o,2,553146270,59185
p,2,557298325,40000
o,2,560579659,40759
p,2,564729751,39000
o,2,568013770,40074
p,2,572221344,38537
o,2,575501991,39723
p,2,579716823,43371
o,2,583016750,42037
p,2,587155047,38944
o,2,590439139,39889
p,2,594640769,39278
o,2,597932399,39278
p,2,602092787,38982
o,2,605367768,39889
p,2,609574397,39611
o,2,612852916,40093
p,2,617077546,39296
o,2,620296063,40019
p,2,624505544,38815
o,2,627784470,39648
p,2,631994377,39019
o,2,635287452,39593
p,2,639429211,39167
o,2,642713007,39889
p,2,646924341,39907
o,2,650213748,39981
p,2,654400693,43796
o,2,657698619,43130
p,2,661914879,42351
o,2,665193396,41426
p,2,669444859,47982
o,2,672677118,45074
deadline thread started [2544]
init
set pins
m,2,673666377,91760
p,2,677050119,44444
o,2,680375731,45852
m,2,681018397,83482
p,2,684515971,42759
o,2,687813453,43759
m,2,688539897,81704
p,2,692040508,44092
o,2,695386730,46000
m,2,696026564,83870
p,2,699554768,44111
o,2,702873397,52185
m,2,703606230,88111
p,2,707119805,44704
o,2,710409676,46778
m,2,711052250,82074
c,2,435969330,277043734
p,2,714309526,52260
o,2,714799453,44796
m,2,714968694,82630
p,2,715542565,39926
o,2,717279101,45945
m,2,717914861,81703
p,2,721452971,48167
o,2,724784600,50389
m,2,725424248,106648
p,2,729065970,45389
o,2,732317322,50963
m,2,733053397,95407
p,2,736577711,44260
c,2,715181509,22273573
o,2,737924804,47518
m,2,738115452,87389
p,2,738584693,51593
o,2,738848564,49352
m,2,739045230,85019
p,2,739400859,48963
o,2,739679785,42519
m,2,739775600,83741
p,2,739911581,40907
o,2,740842969,44611
m,2,741015136,85592
p,2,741385118,41444
o,2,741670378,50407
m,2,741896304,79777
p,2,742433694,41592
o,2,742742788,41148
m,2,742836361,94093
p,2,743272473,43407
o,2,743582675,41778
m,2,743747806,81129
p,2,744109880,42611
o,2,744450638,43445
m,2,744543156,80445
p,2,744903675,40981
o,2,745206878,40519
m,2,745370415,79797
p,2,745729564,42741
o,2,748243599,48371
m,2,748887210,84723
p,2,752406785,43482
o,2,755719564,49241
m,2,756449378,91408
p,2,759970285,44186
o,2,763232600,46315
m,2,763944841,81500
p,2,767472360,44889
c,2,740506839,27072669
o,2,768042842,46111
m,2,768221379,83518
p,2,768537824,49852
o,2,768869381,42222
m,2,769035048,80130
p,2,769371807,38593
o,2,769675029,39778
m,2,769762400,78555
p,2,770129306,38963
o,2,770745769,41648
m,2,770905547,80111
p,2,771253769,43962
o,2,771567675,40703
m,2,771656897,82722
p,2,772046157,42777
o,2,772571785,44908
m,2,772742675,83018
p,2,773100451,40797
o,2,773414729,41593
m,2,773507044,79777
p,2,773873712,39018
o,2,774179988,41704
m,2,774340654,87019
p,2,774692729,39500
o,2,774998488,40630
m,2,775087673,78815
p,2,775399877,41408
o,2,778599767,46611
m,2,779313156,81944
p,2,782853767,45426
o,2,786165396,46778
m,2,786806119,81500
p,2,790349969,45944
o,2,793647766,46037
m,2,794358636,82074
c,2,770391991,26037868
p,2,796870414,42019
o,2,797213414,49704
m,2,797325043,81982
p,2,797708433,43000
o,2,798066952,46667
m,2,798260027,81981
p,2,798639212,45408
o,2,798934602,44889
m,2,799120083,84389
p,2,799596490,43000
o,2,800254507,51296
m,2,800371822,155204
p,2,800751156,113222
o,2,801060768,42685
m,2,801230380,79649
p,2,801740991,40944
o,2,802045009,41851
m,2,802215602,81315
p,2,802572603,39148
o,2,802806343,39926
m,2,802962307,79111
p,2,803303770,38574
o,2,803616233,40019
m,2,803777845,79444
p,2,804131197,41797
o,2,804392566,118963
m,2,804560381,78704
p,2,805373843,41037
o,2,808722528,46685
m,2,809426750,81222
p,2,812946305,44167
o,2,816234510,49000
m,2,816953639,89574
p,2,820454768,43148
o,2,823760879,45445
m,2,824477769,88222
c,2,799761193,26808705
p,2,826986137,116648
o,2,827299895,43371
m,2,827472506,81166
p,2,827821728,38574
o,2,828117155,39574
m,2,828278062,82963
p,2,828653062,39111
o,2,828889914,40592
m,2,829094284,78981
p,2,829738135,38889
o,2,830038097,40612
m,2,830201061,80500
p,2,830576877,38945
o,2,830856174,40574
m,2,831018081,79593
p,2,831524877,42000
o,2,831829673,42277
m,2,831995802,80481
p,2,832366561,38666
o,2,832599320,42352
m,2,832756967,78704
p,2,833096987,38574
o,2,833396301,39389
m,2,833551153,78703
p,2,833892506,38407
o,2,834184431,117741
m,2,834350875,77796
p,2,835878874,43481
o,2,839181670,52926
m,2,839823003,83241
p,2,843110559,45333
o,2,846180818,47371
m,2,846823540,81593
p,2,850115855,46722
o,2,853180966,46667
m,2,853821503,82760
c,2,829540023,26367110
p,2,856305023,122759
o,2,856638634,42166
m,2,856803986,82093
p,2,857175523,40389
o,2,857497634,42852
m,2,857590152,165630
p,2,857985615,40296
o,2,858316448,42315
m,2,858484022,79444
p,2,859149614,40408
o,2,859472430,42352
m,2,859563763,87204
p,2,859972393,41297
o,2,860347931,42352
m,2,860536191,81018
p,2,861077099,43833
o,2,861349783,126963
m,2,861530653,80852
p,2,861884374,40056
o,2,862214614,44759
m,2,862380744,79204
p,2,862734818,40944
o,2,863012965,131000
m,2,863198613,81870
p,2,863578798,42389
o,2,863909965,52019
m,2,864295947,86111
p,2,866565613,51315
o,2,869901982,45222
m,2,870669611,86703
p,2,874194833,44148
o,2,877483851,44852
m,2,878121092,80296
p,2,881646704,46870
o,2,884938871,45185
m,2,885654111,81204
c,2,858872078,27274737
p,2,886628611,42223
o,2,886964185,45240
m,2,887066685,88074
p,2,887490926,41296
o,2,887794076,40592
m,2,887956947,82796
p,2,888333946,40574
o,2,888722760,41888
m,2,888816889,82519
p,2,889534224,40944
o,2,889870780,41740
m,2,890044965,93518
p,2,890290409,42093
o,2,890603853,42796
m,2,891051761,80945
p,2,891397057,39722
o,2,891559262,189129
m,2,891800113,80907
p,2,892144410,41667
o,2,892487597,42518
m,2,892578078,79389
p,2,892949783,40611
o,2,893249765,40741
m,2,893411062,78759
p,2,893744580,38241
o,2,894042803,38592
m,2,894127599,144351
p,2,897108932,44203
o,2,900402043,44315
m,2,901117154,81982
p,2,904618562,41851
o,2,907951599,43370
m,2,908592673,148982
p,2,912127857,41963
c,2,889240964,25035597
o,2,914623820,40630
m,2,914782542,80093
p,2,915122931,38259
o,2,915426412,39648
m,2,915513894,149388
p,2,915892653,100464
o,2,916180135,38963
m,2,916339635,77778
p,2,916673802,38056
o,2,916971394,38667
m,2,917129505,78556
p,2,917732247,38759
o,2,917988097,39833
m,2,918151393,78685
p,2,918494077,37889
o,2,918787022,39129
m,2,918981615,78222
p,2,919445707,39277
o,2,919765503,43593
m,2,919855577,77797
p,2,920186614,37630
o,2,920482262,38889
m,2,920634947,77815
p,2,920976170,38055
o,2,921298096,38833
m,2,921383319,77500
p,2,921729392,37945
o,2,922021225,38500
m,2,922210800,77778
p,2,925721410,43574
o,2,929011743,43575
m,2,929722317,82574
p,2,933266855,42148
o,2,936553058,42259
m,2,937197984,81037
p,2,940707929,43463
c,2,917337746,25098739
o,2,942774985,40704
m,2,942933651,80759
p,2,943274428,38704
o,2,943571427,39092
m,2,943730890,78889
p,2,944063963,38426
o,2,944314870,48741
m,2,944478592,78796
p,2,944821202,38685
o,2,945154296,39500
m,2,945383186,79444
p,2,945909466,39166
o,2,946162688,115574
m,2,946325485,78833
p,2,946702317,38093
o,2,947119430,41092
m,2,947282782,79037
