main thread [1926]
deadline thread started [1941]
st_p,2,510348317,0
p,2,510487372,43315
p,2,517832965,40592
p,2,525320688,41612
p,2,532733430,41000
p,2,540238653,41574
p,2,547656228,40167
p,2,555200452,40556
p,2,562696156,41074
p,2,570131119,39778
p,2,577621063,40833
deadline thread started [1942]
st_c,2,584909654,0
p,2,585032765,39389
Starting camera loop
p,2,592592560,42908
p,2,600078984,41445
p,2,607523207,40852
p,2,615008705,40852
p,2,622427852,41370
p,2,629952778,40240
p,2,637398185,40408
p,2,644959388,45037
p,2,652384664,117908
p,2,659728164,45019
p,2,667312425,45037
deadline thread started [1943]
st_o,2,668955535,0
o,2,668997387,58111
p,2,674745332,40167
o,2,676467240,40722
p,2,682228332,40204
o,2,683877721,40981
p,2,689653110,41037
o,2,691391480,40593
p,2,697164146,40611
o,2,698818683,40593
p,2,704575961,112796
o,2,706299424,40240
p,2,712096239,40926
o,2,713819462,41426
p,2,719553370,41648
o,2,721302408,40314
p,2,727064000,40315
o,2,728718519,40056
p,2,734480888,43371
o,2,736201814,40408
p,2,741988203,41203
o,2,743637333,107259
deadline thread started [1944]
st_m,2,745852295,0
init
set pins
m,2,746157851,88870
p,2,749515277,126167
o,2,751235944,42852
m,2,753456889,81185
p,2,757021185,40870
o,2,758743834,41277
m,2,760967203,79426
p,2,764514295,43500
o,2,766172222,43425
m,2,768391666,82185
p,2,771937665,41315
o,2,773688479,41945
m,2,775911239,80704
p,2,779453331,42019
o,2,781100979,40389
m,2,783347962,81371
c,2,586521302,197066364
p,2,784638462,45297
o,2,784929814,43297
m,2,785293962,84222
p,2,785648518,40074
o,2,785881278,40574
m,2,786073166,206111
p,2,786405888,99592
o,2,787009684,43130
m,2,787294517,82889
p,2,787662923,42519
o,2,787824220,40963
m,2,788055813,79204
p,2,788659498,45408
o,2,788762239,42704
m,2,788858258,83759
p,2,788991684,42204
o,2,789086314,47444
m,2,789186370,79611
p,2,789325648,40833
o,2,789420037,39982
m,2,790413426,83351
p,2,790805204,40870
o,2,790970130,40315
m,2,791200724,77944
p,2,791540169,39574
o,2,791770372,40278
m,2,793902113,85130
p,2,797463151,44593
o,2,799110392,43500
m,2,801370577,87056
p,2,804944353,46889
o,2,806711038,44111
m,2,808943316,83667
p,2,812505779,44518
c,2,788283332,24609447
o,2,813225001,43685
m,2,813471223,81186
p,2,813819779,43037
o,2,814095261,44185
m,2,814370649,85204
p,2,814763835,47055
o,2,814951426,44408
m,2,815218222,84259
p,2,815629537,45685
o,2,815901296,44463
m,2,816173870,88296
p,2,816559538,46629
o,2,816744464,41852
m,2,816979372,80074
p,2,817345076,43000
o,2,817585502,40797
m,2,817749503,147406
p,2,818160612,39759
o,2,818317724,40148
m,2,818633076,79074
p,2,819002466,40741
o,2,819634429,41741
m,2,819982726,80629
p,2,820338077,42796
o,2,820504651,40667
m,2,820740188,82111
p,2,821191354,42074
o,2,821604632,44000
m,2,821775595,151519
p,2,822190263,40296
o,2,822356744,41037
m,2,822588910,78185
p,2,822952668,40685
o,2,823113113,41814
m,2,823206816,80463
p,2,823337982,41445
o,2,823431390,42296
m,2,823524594,80019
p,2,823654816,41148
o,2,824393019,40852
m,2,824483131,77740
p,2,824609094,40629
o,2,824698816,39944
m,2,825274686,77722
p,2,825635595,39981
o,2,825870170,39944
m,2,826130448,80592
p,2,826478688,40037
o,2,826635873,114890
m,2,826868448,157445
p,2,827304226,40426
o,2,828391485,43593
m,2,830646022,86778
p,2,834234633,47278
o,2,835889078,118926
m,2,838125801,162666
p,2,841765338,44704
o,2,843422228,43925
m,2,845650302,83148
c,2,818410447,28675206
p,2,847562633,41834
o,2,847798541,41222
m,2,848029874,80741
p,2,848368671,40593
o,2,848531634,41037
m,2,848761005,78723
p,2,849096652,39982
o,2,849351170,40278
m,2,849580652,78500
p,2,849922356,40444
o,2,850079764,40037
m,2,850308172,79259
p,2,850649802,40259
o,2,850889673,40352
m,2,851118951,78278
p,2,851477897,40740
o,2,851711748,40445
m,2,851877933,150241
p,2,852293971,39778
o,2,852528712,40240
m,2,852761155,79111
p,2,853153712,40629
o,2,853716859,41982
m,2,853953785,79555
p,2,854300376,40167
o,2,854458172,40685
m,2,854733895,77908
p,2,855076006,40500
o,2,855336190,41519
m,2,855726931,80482
p,2,856073117,40945
o,2,856231562,40018
m,2,856467508,78240
p,2,856808063,108462
o,2,857039135,38889
m,2,857260822,77982
p,2,857624932,39778
o,2,857855191,41222
m,2,858020265,155167
p,2,858436916,39777
o,2,858592582,39500
m,2,858820489,77630
p,2,859156656,39333
o,2,859420527,40777
m,2,859652527,77963
p,2,859988470,39870
o,2,860150451,39759
m,2,860379340,77204
p,2,860713617,43259
o,2,860946430,39907
m,2,861200633,77648
p,2,862027522,40611
o,2,863680189,45426
m,2,865917949,89259
p,2,869483820,130889
o,2,871224190,43982
m,2,873460209,82370
p,2,877070430,44648
o,2,878720116,117166
m,2,880953671,165760
c,2,852387008,29129941
p,2,882038561,48482
o,2,882224747,43111
m,2,882463932,80018
p,2,882832042,41241
o,2,883074765,49518
m,2,883259467,157388
p,2,883694227,42815
o,2,883866524,45167
m,2,884114135,88204
p,2,884504209,43111
o,2,884752821,40463
m,2,884920580,79926
p,2,885350838,41352
o,2,885509764,39833
m,2,885739634,78482
p,2,886109781,40000
o,2,886344411,39982
m,2,886573411,77204
p,2,886997596,39019
o,2,887156633,40555
m,2,887393687,78056
p,2,888088446,42963
o,2,888327575,41260
m,2,888558483,78945
p,2,888904706,39592
o,2,889060965,39148
m,2,889328300,77259
p,2,889803872,39945
o,2,890031576,39778
m,2,890273076,78463
p,2,890613003,39259
o,2,890948411,40667
m,2,891177615,77574
p,2,891577891,38963
o,2,891736929,39611
m,2,891957651,77260
p,2,892288355,39240
o,2,892516539,41852
m,2,892767481,79241
p,2,893104352,39204
o,2,893263297,39334
m,2,893494686,80667
p,2,893900890,38963
o,2,894055724,39222
m,2,894276168,77092
p,2,894669169,38908
o,2,894901335,39260
m,2,895130242,83260
p,2,895469816,38834
o,2,895624243,41426
m,2,895856002,77148
p,2,897814317,44093
o,2,899539817,44167
m,2,901817299,86407
p,2,905405446,46130
o,2,907068632,52204
m,2,909334947,94908
p,2,912936726,45759
o,2,914663818,45648
c,2,886848504,29403055
m,2,916566022,174426
p,2,917029189,42963
o,2,917208948,43741
m,2,917473356,84982
p,2,917873986,41926
o,2,918041504,41463
m,2,918267393,79871
p,2,918604541,40278
o,2,918835506,39963
m,2,919092043,84148
p,2,919446376,40000
o,2,919604338,44945
m,2,919843876,82000
p,2,920184764,123667
o,2,920427727,40852
m,2,920660746,79666
p,2,921043764,41000
o,2,921276986,41649
m,2,921441172,148093
p,2,921929988,40092
o,2,922093340,39592
m,2,922319914,80407
p,2,922986431,42463
o,2,923229542,39833
